year,destination,origin,type,Value
2014,Aruba,Colombia,Asylum-seekers,*
2014,Aruba,Colombia,Refugees (incl. refugee-like situations),
2014,Aruba,Cuba,Asylum-seekers,*
2014,Aruba,Cuba,Refugees (incl. refugee-like situations),
2014,Afghanistan,Afghanistan,Asylum-seekers,
2014,Afghanistan,Afghanistan,Refugees (incl. refugee-like situations),
2014,Afghanistan,Iran (Islamic Rep. of),Asylum-seekers,20
2014,Afghanistan,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),36
2014,Afghanistan,Iraq,Asylum-seekers,*
2014,Afghanistan,Iraq,Refugees (incl. refugee-like situations),*
2014,Afghanistan,Kazakhstan,Asylum-seekers,*
2014,Afghanistan,Kazakhstan,Refugees (incl. refugee-like situations),
2014,Afghanistan,Kyrgyzstan,Asylum-seekers,*
2014,Afghanistan,Kyrgyzstan,Refugees (incl. refugee-like situations),
2014,Afghanistan,Pakistan,Asylum-seekers,33
2014,Afghanistan,Pakistan,Refugees (incl. refugee-like situations),300385
2014,Afghanistan,Palestinian,Asylum-seekers,*
2014,Afghanistan,Palestinian,Refugees (incl. refugee-like situations),*
2014,Afghanistan,Tajikistan,Asylum-seekers,*
2014,Afghanistan,Tajikistan,Refugees (incl. refugee-like situations),
2014,Afghanistan,Uzbekistan,Asylum-seekers,*
2014,Afghanistan,Uzbekistan,Refugees (incl. refugee-like situations),
2014,Angola,Burundi,Asylum-seekers,94
2014,Angola,Burundi,Refugees (incl. refugee-like situations),8
2014,Angola,Central African Rep.,Asylum-seekers,76
2014,Angola,Central African Rep.,Refugees (incl. refugee-like situations),9
2014,Angola,Côte d'Ivoire,Asylum-seekers,5926
2014,Angola,Côte d'Ivoire,Refugees (incl. refugee-like situations),513
2014,Angola,Cameroon,Asylum-seekers,
2014,Angola,Cameroon,Refugees (incl. refugee-like situations),*
2014,Angola,Dem. Rep. of the Congo,Asylum-seekers,500
2014,Angola,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),12944
2014,Angola,Congo,Asylum-seekers,58
2014,Angola,Congo,Refugees (incl. refugee-like situations),*
2014,Angola,Djibouti,Asylum-seekers,*
2014,Angola,Djibouti,Refugees (incl. refugee-like situations),
2014,Angola,Algeria,Asylum-seekers,*
2014,Angola,Algeria,Refugees (incl. refugee-like situations),*
2014,Angola,Eritrea,Asylum-seekers,1784
2014,Angola,Eritrea,Refugees (incl. refugee-like situations),19
2014,Angola,Western Sahara,Asylum-seekers,602
2014,Angola,Western Sahara,Refugees (incl. refugee-like situations),14
2014,Angola,Ethiopia,Asylum-seekers,58
2014,Angola,Ethiopia,Refugees (incl. refugee-like situations),
2014,Angola,Guinea,Asylum-seekers,9141
2014,Angola,Guinea,Refugees (incl. refugee-like situations),108
2014,Angola,Gambia,Asylum-seekers,*
2014,Angola,Gambia,Refugees (incl. refugee-like situations),
2014,Angola,Guinea-Bissau,Asylum-seekers,268
2014,Angola,Guinea-Bissau,Refugees (incl. refugee-like situations),*
2014,Angola,Haiti,Asylum-seekers,*
2014,Angola,Haiti,Refugees (incl. refugee-like situations),*
2014,Angola,Iraq,Asylum-seekers,*
2014,Angola,Iraq,Refugees (incl. refugee-like situations),
2014,Angola,Liberia,Asylum-seekers,478
2014,Angola,Liberia,Refugees (incl. refugee-like situations),153
2014,Angola,Libya,Asylum-seekers,
2014,Angola,Libya,Refugees (incl. refugee-like situations),*
2014,Angola,Mali,Asylum-seekers,*
2014,Angola,Mali,Refugees (incl. refugee-like situations),*
2014,Angola,Mauritania,Asylum-seekers,5415
2014,Angola,Mauritania,Refugees (incl. refugee-like situations),299
2014,Angola,Mauritius,Asylum-seekers,*
2014,Angola,Mauritius,Refugees (incl. refugee-like situations),
2014,Angola,Nigeria,Asylum-seekers,*
2014,Angola,Nigeria,Refugees (incl. refugee-like situations),
2014,Angola,Dem. People's Rep. of Korea,Asylum-seekers,*
2014,Angola,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),
2014,Angola,Rwanda,Asylum-seekers,85
2014,Angola,Rwanda,Refugees (incl. refugee-like situations),257
2014,Angola,Sudan,Asylum-seekers,1679
2014,Angola,Sudan,Refugees (incl. refugee-like situations),300
2014,Angola,Senegal,Asylum-seekers,*
2014,Angola,Senegal,Refugees (incl. refugee-like situations),
2014,Angola,Sierra Leone,Asylum-seekers,1498
2014,Angola,Sierra Leone,Refugees (incl. refugee-like situations),372
2014,Angola,Somalia,Asylum-seekers,1752
2014,Angola,Somalia,Refugees (incl. refugee-like situations),272
2014,Angola,Syrian Arab Rep.,Asylum-seekers,*
2014,Angola,Syrian Arab Rep.,Refugees (incl. refugee-like situations),
2014,Angola,Chad,Asylum-seekers,780
2014,Angola,Chad,Refugees (incl. refugee-like situations),177
2014,Angola,Togo,Asylum-seekers,*
2014,Angola,Togo,Refugees (incl. refugee-like situations),
2014,Angola,United Rep. of Tanzania,Asylum-seekers,
2014,Angola,United Rep. of Tanzania,Refugees (incl. refugee-like situations),*
2014,Angola,Uganda,Asylum-seekers,6
2014,Angola,Uganda,Refugees (incl. refugee-like situations),6
2014,Angola,South Africa,Asylum-seekers,
2014,Angola,South Africa,Refugees (incl. refugee-like situations),*
2014,Angola,Zambia,Asylum-seekers,*
2014,Angola,Zambia,Refugees (incl. refugee-like situations),7
2014,Angola,Zimbabwe,Asylum-seekers,*
2014,Angola,Zimbabwe,Refugees (incl. refugee-like situations),
2014,Albania,Afghanistan,Asylum-seekers,*
2014,Albania,Afghanistan,Refugees (incl. refugee-like situations),
2014,Albania,Albania,Asylum-seekers,
2014,Albania,Albania,Refugees (incl. refugee-like situations),
2014,Albania,Armenia,Asylum-seekers,*
2014,Albania,Armenia,Refugees (incl. refugee-like situations),
2014,Albania,Azerbaijan,Asylum-seekers,5
2014,Albania,Azerbaijan,Refugees (incl. refugee-like situations),
2014,Albania,China,Asylum-seekers,
2014,Albania,China,Refugees (incl. refugee-like situations),12
2014,Albania,Dem. Rep. of the Congo,Asylum-seekers,
2014,Albania,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),*
2014,Albania,Egypt,Asylum-seekers,
2014,Albania,Egypt,Refugees (incl. refugee-like situations),*
2014,Albania,Eritrea,Asylum-seekers,*
2014,Albania,Eritrea,Refugees (incl. refugee-like situations),
2014,Albania,Iran (Islamic Rep. of),Asylum-seekers,456
2014,Albania,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),
2014,Albania,Iraq,Asylum-seekers,
2014,Albania,Iraq,Refugees (incl. refugee-like situations),*
2014,Albania,Mali,Asylum-seekers,*
2014,Albania,Mali,Refugees (incl. refugee-like situations),
2014,Albania,Montenegro,Asylum-seekers,
2014,Albania,Montenegro,Refugees (incl. refugee-like situations),*
2014,Albania,Pakistan,Asylum-seekers,*
2014,Albania,Pakistan,Refugees (incl. refugee-like situations),
2014,Albania,Peru,Asylum-seekers,
2014,Albania,Peru,Refugees (incl. refugee-like situations),*
2014,Albania,Palestinian,Asylum-seekers,
2014,Albania,Palestinian,Refugees (incl. refugee-like situations),*
2014,Albania,Russian Federation,Asylum-seekers,*
2014,Albania,Russian Federation,Refugees (incl. refugee-like situations),
2014,Albania,Sudan,Asylum-seekers,*
2014,Albania,Sudan,Refugees (incl. refugee-like situations),
2014,Albania,Senegal,Asylum-seekers,*
2014,Albania,Senegal,Refugees (incl. refugee-like situations),
2014,Albania,Somalia,Asylum-seekers,*
2014,Albania,Somalia,Refugees (incl. refugee-like situations),
2014,Albania,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,13
2014,Albania,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),64
2014,Albania,Syrian Arab Rep.,Asylum-seekers,8
2014,Albania,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
2014,Albania,Turkey,Asylum-seekers,
2014,Albania,Turkey,Refugees (incl. refugee-like situations),*
2014,Albania,Ukraine,Asylum-seekers,*
2014,Albania,Ukraine,Refugees (incl. refugee-like situations),
2014,Albania,Uzbekistan,Asylum-seekers,
2014,Albania,Uzbekistan,Refugees (incl. refugee-like situations),*
2014,United Arab Emirates,Afghanistan,Asylum-seekers,*
2014,United Arab Emirates,Afghanistan,Refugees (incl. refugee-like situations),*
2014,United Arab Emirates,Eritrea,Asylum-seekers,*
2014,United Arab Emirates,Eritrea,Refugees (incl. refugee-like situations),
2014,United Arab Emirates,Ethiopia,Asylum-seekers,*
2014,United Arab Emirates,Ethiopia,Refugees (incl. refugee-like situations),6
2014,United Arab Emirates,Iran (Islamic Rep. of),Asylum-seekers,*
2014,United Arab Emirates,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),*
2014,United Arab Emirates,Iraq,Asylum-seekers,200
2014,United Arab Emirates,Iraq,Refugees (incl. refugee-like situations),348
2014,United Arab Emirates,Palestinian,Asylum-seekers,
2014,United Arab Emirates,Palestinian,Refugees (incl. refugee-like situations),*
2014,United Arab Emirates,Sudan,Asylum-seekers,*
2014,United Arab Emirates,Sudan,Refugees (incl. refugee-like situations),6
2014,United Arab Emirates,Somalia,Asylum-seekers,*
2014,United Arab Emirates,Somalia,Refugees (incl. refugee-like situations),21
2014,United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,12
2014,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),28
2014,Argentina,Afghanistan,Asylum-seekers,*
2014,Argentina,Afghanistan,Refugees (incl. refugee-like situations),5
2014,Argentina,Angola,Asylum-seekers,*
2014,Argentina,Angola,Refugees (incl. refugee-like situations),13
2014,Argentina,Albania,Asylum-seekers,
2014,Argentina,Albania,Refugees (incl. refugee-like situations),25
2014,Argentina,Armenia,Asylum-seekers,30
2014,Argentina,Armenia,Refugees (incl. refugee-like situations),122
2014,Argentina,Burundi,Asylum-seekers,*
2014,Argentina,Burundi,Refugees (incl. refugee-like situations),5
2014,Argentina,Benin,Asylum-seekers,
2014,Argentina,Benin,Refugees (incl. refugee-like situations),*
2014,Argentina,Bangladesh,Asylum-seekers,8
2014,Argentina,Bangladesh,Refugees (incl. refugee-like situations),
2014,Argentina,Bulgaria,Asylum-seekers,
2014,Argentina,Bulgaria,Refugees (incl. refugee-like situations),*
2014,Argentina,Bosnia and Herzegovina,Asylum-seekers,
2014,Argentina,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),6
2014,Argentina,Belarus,Asylum-seekers,
2014,Argentina,Belarus,Refugees (incl. refugee-like situations),*
2014,Argentina,Bolivia (Plurinational State of),Asylum-seekers,
2014,Argentina,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),*
2014,Argentina,Brazil,Asylum-seekers,*
2014,Argentina,Brazil,Refugees (incl. refugee-like situations),*
2014,Argentina,Central African Rep.,Asylum-seekers,
2014,Argentina,Central African Rep.,Refugees (incl. refugee-like situations),*
2014,Argentina,Chile,Asylum-seekers,7
2014,Argentina,Chile,Refugees (incl. refugee-like situations),36
2014,Argentina,China,Asylum-seekers,*
2014,Argentina,China,Refugees (incl. refugee-like situations),*
2014,Argentina,Côte d'Ivoire,Asylum-seekers,*
2014,Argentina,Côte d'Ivoire,Refugees (incl. refugee-like situations),36
2014,Argentina,Cameroon,Asylum-seekers,5
2014,Argentina,Cameroon,Refugees (incl. refugee-like situations),11
2014,Argentina,Dem. Rep. of the Congo,Asylum-seekers,5
2014,Argentina,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),25
2014,Argentina,Congo,Asylum-seekers,*
2014,Argentina,Congo,Refugees (incl. refugee-like situations),9
2014,Argentina,Colombia,Asylum-seekers,141
2014,Argentina,Colombia,Refugees (incl. refugee-like situations),551
2014,Argentina,Costa Rica,Asylum-seekers,
2014,Argentina,Costa Rica,Refugees (incl. refugee-like situations),5
2014,Argentina,Cuba,Asylum-seekers,142
2014,Argentina,Cuba,Refugees (incl. refugee-like situations),342
2014,Argentina,Czech Rep.,Asylum-seekers,*
2014,Argentina,Czech Rep.,Refugees (incl. refugee-like situations),
2014,Argentina,Germany,Asylum-seekers,*
2014,Argentina,Germany,Refugees (incl. refugee-like situations),
2014,Argentina,Dominican Rep.,Asylum-seekers,67
2014,Argentina,Dominican Rep.,Refugees (incl. refugee-like situations),*
2014,Argentina,Algeria,Asylum-seekers,*
2014,Argentina,Algeria,Refugees (incl. refugee-like situations),41
2014,Argentina,Ecuador,Asylum-seekers,
2014,Argentina,Ecuador,Refugees (incl. refugee-like situations),16
2014,Argentina,Egypt,Asylum-seekers,*
2014,Argentina,Egypt,Refugees (incl. refugee-like situations),5
2014,Argentina,Eritrea,Asylum-seekers,
2014,Argentina,Eritrea,Refugees (incl. refugee-like situations),*
2014,Argentina,Spain,Asylum-seekers,*
2014,Argentina,Spain,Refugees (incl. refugee-like situations),
2014,Argentina,Ethiopia,Asylum-seekers,
2014,Argentina,Ethiopia,Refugees (incl. refugee-like situations),*
2014,Argentina,Georgia,Asylum-seekers,
2014,Argentina,Georgia,Refugees (incl. refugee-like situations),5
2014,Argentina,Ghana,Asylum-seekers,42
2014,Argentina,Ghana,Refugees (incl. refugee-like situations),64
2014,Argentina,Guinea,Asylum-seekers,8
2014,Argentina,Guinea,Refugees (incl. refugee-like situations),11
2014,Argentina,Gambia,Asylum-seekers,*
2014,Argentina,Gambia,Refugees (incl. refugee-like situations),*
2014,Argentina,Guinea-Bissau,Asylum-seekers,*
2014,Argentina,Guinea-Bissau,Refugees (incl. refugee-like situations),18
2014,Argentina,Guatemala,Asylum-seekers,*
2014,Argentina,Guatemala,Refugees (incl. refugee-like situations),*
2014,Argentina,Guyana,Asylum-seekers,*
2014,Argentina,Guyana,Refugees (incl. refugee-like situations),
2014,Argentina,Honduras,Asylum-seekers,*
2014,Argentina,Honduras,Refugees (incl. refugee-like situations),*
2014,Argentina,Croatia,Asylum-seekers,
2014,Argentina,Croatia,Refugees (incl. refugee-like situations),*
2014,Argentina,Haiti,Asylum-seekers,49
2014,Argentina,Haiti,Refugees (incl. refugee-like situations),66
2014,Argentina,Hungary,Asylum-seekers,*
2014,Argentina,Hungary,Refugees (incl. refugee-like situations),
2014,Argentina,India,Asylum-seekers,53
2014,Argentina,India,Refugees (incl. refugee-like situations),30
2014,Argentina,Iran (Islamic Rep. of),Asylum-seekers,*
2014,Argentina,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),19
2014,Argentina,Iraq,Asylum-seekers,*
2014,Argentina,Iraq,Refugees (incl. refugee-like situations),26
2014,Argentina,Italy,Asylum-seekers,
2014,Argentina,Italy,Refugees (incl. refugee-like situations),*
2014,Argentina,Japan,Asylum-seekers,*
2014,Argentina,Japan,Refugees (incl. refugee-like situations),
2014,Argentina,Kazakhstan,Asylum-seekers,
2014,Argentina,Kazakhstan,Refugees (incl. refugee-like situations),22
2014,Argentina,Kenya,Asylum-seekers,
2014,Argentina,Kenya,Refugees (incl. refugee-like situations),*
2014,Argentina,Kyrgyzstan,Asylum-seekers,
2014,Argentina,Kyrgyzstan,Refugees (incl. refugee-like situations),*
2014,Argentina,Liberia,Asylum-seekers,
2014,Argentina,Liberia,Refugees (incl. refugee-like situations),67
2014,Argentina,Libya,Asylum-seekers,*
2014,Argentina,Libya,Refugees (incl. refugee-like situations),
2014,Argentina,Sri Lanka,Asylum-seekers,
2014,Argentina,Sri Lanka,Refugees (incl. refugee-like situations),34
2014,Argentina,Morocco,Asylum-seekers,*
2014,Argentina,Morocco,Refugees (incl. refugee-like situations),*
2014,Argentina,Mexico,Asylum-seekers,*
2014,Argentina,Mexico,Refugees (incl. refugee-like situations),*
2014,Argentina,The former Yugoslav Republic of Macedonia,Asylum-seekers,
2014,Argentina,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),17
2014,Argentina,Mali,Asylum-seekers,*
2014,Argentina,Mali,Refugees (incl. refugee-like situations),19
2014,Argentina,Mauritania,Asylum-seekers,
2014,Argentina,Mauritania,Refugees (incl. refugee-like situations),*
2014,Argentina,Nigeria,Asylum-seekers,16
2014,Argentina,Nigeria,Refugees (incl. refugee-like situations),55
2014,Argentina,Nicaragua,Asylum-seekers,
2014,Argentina,Nicaragua,Refugees (incl. refugee-like situations),*
2014,Argentina,Nepal,Asylum-seekers,*
2014,Argentina,Nepal,Refugees (incl. refugee-like situations),
2014,Argentina,Pakistan,Asylum-seekers,7
2014,Argentina,Pakistan,Refugees (incl. refugee-like situations),50
2014,Argentina,Peru,Asylum-seekers,27
2014,Argentina,Peru,Refugees (incl. refugee-like situations),582
